url,title,imageurl,category,newname,time
https://laodong.vn/phap-luat/hai-xe-oto-cho-ruou-ngoai-nhap-lau-tri-gia-hon-2-ti-dong-995135.ldo,Hai xe ôtô chở rượu ngoại nhập lậu trị giá hơn 2 tỉ đồng,https://media-cdn.laodong.vn/storage/newsportal/2022/1/15/995135/Ruou-Lau.jpg?w=888&h=592&crop=auto&scale=both,Pháp luật,laodong.vn,15/01/2022 | 10:28
https://laodong.vn/giai-tri/taemin-shinee-tung-bat-khoc-khi-noi-ve-tinh-trang-benh-cua-ban-than-995053.ldo,Taemin (SHINee) từng bật khóc khi nói về tình trạng bệnh của bản thân,https://media-cdn.laodong.vn/storage/newsportal/2022/1/14/995053/Unnamed.jpg?w=888&h=592&crop=auto&scale=both,Giải trí,laodong.vn,15/01/2022 | 09:54
https://nld.com.vn//cong-doan/lanh-dao-tinh-binh-duong-tham-hoi-dong-vien-cong-nhan-co-hoan-canh-dac-biet-kho-khan-20220115090433657.htm,"Lãnh đạo tỉnh Bình Dương thăm hỏi, động viên công nhân có hoàn cảnh đặc biệt khó khăn",https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/15/mang-mua-xuan-am-ap-164221182467176267563.jpg,Thời sự,nld.com.vn,15/01/2022 | 09:21
https://laodong.vn/bat-dong-san/5-truong-hop-duoc-phep-su-dung-phi-bao-tri-chung-cu-995021.ldo,5 trường hợp được phép sử dụng phí bảo trì chung cư,https://media-cdn.laodong.vn/Storage/NewsPortal/2022/1/14/995021/Chung-Cu.jpg,Kinh doanh,laodong.vn,15/01/2022 | 09:17
https://laodong.vn/xa-hoi/ba-ria-vung-tau-yeu-cau-dung-le-hoi-dam-bao-an-toan-cho-du-khach-dip-tet-995013.ldo,"Bà Rịa - Vũng Tàu yêu cầu dừng lễ hội, đảm bảo an toàn cho du khách dịp Tết",https://media-cdn.laodong.vn/storage/newsportal/2022/1/14/995013/Phoi-Canh.jpg?w=888&h=592&crop=auto&scale=both,Xã hội,laodong.vn,15/01/2022 | 08:32
https://laodong.vn/xa-hoi/cap-nhat-cac-dia-phuong-yeu-cau-cach-ly-xet-nghiem-nguoi-ve-an-tet-994985.ldo,"Cập nhật các địa phương yêu cầu cách ly, xét nghiệm người về ăn Tết",https://media-cdn.laodong.vn/storage/newsportal/2022/1/14/994985/F0-Ha-Noi-13.jpeg?w=888&h=592&crop=auto&scale=both,Xã hội,laodong.vn,15/01/2022 | 08:21
https://nld.com.vn//the-thao/man-city-tan-tac-vi-covid-19-pep-guardiola-tuyen-bo-van-dua-vo-dich-20220115081048803.htm,"Man City tan tác vì Covid-19, Pep Guardiola tuyên bố vẫn đua vô địch",https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/15/andreas-christensen-v-de-bruyne--16422085194091450603003.jpg,Thể thao,nld.com.vn,15/01/2022 | 08:19
https://laodong.vn/the-gioi/can-canh-60-trieu-to-ca-bang-khong-lo-duoi-day-bien-nam-cuc-995092.ldo,Cận cảnh 60 triệu tổ cá băng khổng lồ dưới đáy biển Nam Cực,https://media-cdn.laodong.vn/storage/newsportal/2022/1/15/995092/Ca-Bang-Bien-Weddell.jpg?w=888&h=592&crop=auto&scale=both,Thế giới,laodong.vn,15/01/2022 | 08:16
https://laodong.vn/thoi-su/thu-tuong-tphcm-da-thanh-vung-xanh-nhung-khong-duoc-chu-quan-998172.ldo,Thủ tướng: TPHCM đã thành vùng xanh nhưng không được chủ quan,https://media-cdn.laodong.vn/storage/newsportal/2022/1/24/998172/Thu-Tuong.jpg?w=888&h=592&crop=auto&scale=both,Thời sự,laodong.vn,24/01/2022 | 14:28
https://nld.com.vn//van-nghe/nghe-si-te-tuu-du-trao-giai-thuong-tac-pham-san-khau-2021-20220124134035704.htm,Nghệ sĩ tề tựu dự trao giải thưởng Tác phẩm sân khấu 2021,https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/24/27229739610003083505649802838686839294215292n-16430057156701517335594.jpg,Giải trí,nld.com.vn,24/01/2022 | 14:16
https://thanhnien.vn/ngoc-son-cam-ly-bo-tien-tui-tang-tuyen-dau-chong-dich-vi-ly-do-bat-ngo-post1424198.html,"Ngọc Sơn, Cẩm Ly bỏ tiền túi tặng tuyến đầu chống dịch vì lý do bất ngờ",https://image.thanhnien.vn/w2048/Uploaded/2022/drkxrvyxqx/2022_01_24/522a2709-8355.jpg,notification,thanhnien.vn,24/01/2022 | 14:12
https://laodong.vn/the-thao/ai-thay-ngoc-hai-duy-manh-o-doi-tuyen-viet-nam-998161.ldo,"Ai thay Ngọc Hải, Duy Mạnh ở đội tuyển Việt Nam?",https://media-cdn.laodong.vn/storage/newsportal/2022/1/24/998161/HUU_7666.jpg?w=888&h=592&crop=auto&scale=both,Thể thao,laodong.vn,24/01/2022 | 13:46
https://nld.com.vn//suc-khoe/nap-chai-kim-loai-cam-vao-thuc-quan-thanh-nien-hon-2-thang-20220124125348126.htm,Nắp chai kim loại cắm vào thực quản thanh niên hơn 2 tháng,https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/24/bac-si-nguyen-phu-huu-dang-thuc-hien-phau-thuat-cho-nguoi-benh-1643003443283524798056.jpg,Sức khỏe,nld.com.vn,24/01/2022 | 13:31
https://nld.com.vn//thoi-su/doan-kiem-tra-vu-biet-thu-tai-tieng-xem-xet-trach-nhiem-tung-ca-nhan-to-chuc-20220124120356079.htm,"Đoàn kiểm tra vụ biệt thự tai tiếng: Xem xét trách nhiệm từng cá nhân, tổ chức",https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2021/12/28/2673253929644990311099367267201431040427132n-16406753436161146372027.jpg,Thời sự,nld.com.vn,24/01/2022 | 13:00
https://nld.com.vn//thoi-su/tong-bi-thu-nguyen-phu-trong-chuc-tet-dang-bo-chinh-quyen-va-nhan-dan-tinh-bac-ninh-20220124121425028.htm,"Tổng Bí thư Nguyễn Phú Trọng chúc Tết Đảng bộ, chính quyền và nhân dân tỉnh Bắc Ninh",https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/24/1-16430001781491809245828.jpg,Thời sự,nld.com.vn,24/01/2022 | 12:29
https://laodong.vn/thoi-su/chu-tich-quoc-hoi-vuong-dinh-hue-lam-viec-va-tang-qua-tet-o-tinh-dong-nai-998136.ldo,Chủ tịch Quốc hội Vương Đình Huệ làm việc và tặng quà Tết ở tỉnh Đồng Nai,https://media-cdn.laodong.vn/storage/newsportal/2022/1/24/998136/Vuong-Dinh-Hue.jpg?w=888&h=592&crop=auto&scale=both,Thời sự,laodong.vn,24/01/2022 | 12:22
https://laodong.vn/xa-hoi/quang-binh-khoi-cong-du-an-duong-ven-bien-voi-tong-von-dau-tu-2197-ti-dong-998150.ldo,Quảng Bình khởi công dự án đường ven biển với tổng vốn đầu tư 2.197 tỉ đồng,https://media-cdn.laodong.vn/storage/newsportal/2022/1/24/998150/5-7.JPG?w=888&h=592&crop=auto&scale=both,Xã hội,laodong.vn,24/01/2022 | 12:21
https://laodong.vn/the-gioi/thai-lan-day-manh-tiem-lieu-4-tai-cac-diem-nong-du-lich-998153.ldo,Thái Lan đẩy mạnh tiêm liều 4 tại các điểm nóng du lịch,https://media-cdn.laodong.vn/storage/newsportal/2022/1/24/998153/Thai-Lan.jpeg?w=888&h=592&crop=auto&scale=both,Thế giới,laodong.vn,24/01/2022 | 12:17
https://laodong.vn/phap-luat/doi-tuong-mang-3-tien-an-lai-bi-bat-vi-trom-tai-san-998118.ldo,Đối tượng mang 3 tiền án lại bị bắt vì trộm tài sản,https://media-cdn.laodong.vn/storage/newsportal/2022/1/24/998118/Trom.jpg?w=888&h=592&crop=auto&scale=both,Pháp luật,laodong.vn,24/01/2022 | 11:25
https://nld.com.vn//thoi-su/rung-minh-canh-1-nguoi-bi-xe-tai-keo-le-hang-chuc-met-tu-vong-o-dong-nai-20220124110146824.htm,Rùng mình cảnh 1 người bị xe tải kéo lê hàng chục mét tử vong ở Đồng Nai,https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/24/img7350-1642996701829318390937.jpg,Thời sự,nld.com.vn,24/01/2022 | 11:16
https://nld.com.vn//van-nghe/bac-thay-sang-tao-cua-lang-mot-the-gioi-thierry-mugler-qua-doi-20220124102529748.htm,Bậc thầy sáng tạo của làng mốt thế giới Thierry Mugler qua đời,https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/24/23muglertopjumbo-16429945815502077681564.jpg,Giải trí,nld.com.vn,24/01/2022 | 11:10
https://nld.com.vn//thoi-su/buyt-dien-chuan-bi-lan-banh-o-tp-hcm-20220124101749712.htm,Buýt điện chuẩn bị lăn bánh ở TP HCM,https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/24/xe-bus-dien-1642993993292150113104.jpg,Thời sự,nld.com.vn,24/01/2022 | 10:33
https://laodong.vn/the-thao/vleague-lai-gian-doan-vi-lich-thi-dau-cac-doi-tuyen-quoc-gia-998042.ldo,V.League lại gián đoạn vì lịch thi đấu các đội tuyển quốc gia,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/998042/Slna23.jpg?w=888&h=592&crop=auto&scale=both,Thể thao,laodong.vn,24/01/2022 | 10:32
https://nld.com.vn//the-thao/kieu-bao-uc-di-xem-tuyen-viet-nam-tap-luyen-20220123202216714.htm,Kiều bào Úc đi xem tuyển Việt Nam tập luyện,https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/24/viet-kieu-uc-xem-tuyen-vn-da-16429924010001633849492.jpg,Thể thao,nld.com.vn,24/01/2022 | 10:15
https://nld.com.vn//kinh-te/gia-vang-hom-nay-24-1-vang-sjc-tang-manh-tien-sat-62-trieu-dong-luong-20220124090459508.htm,"Giá vàng hôm nay 24-1: Vàng SJC tăng mạnh, tiến sát 62 triệu đồng/lượng",https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/24/vang24-1-16429897883711498710400.jpg,Kinh doanh,nld.com.vn,24/01/2022 | 09:15
https://nld.com.vn//giao-duc-khoa-hoc/tp-hcm-du-kien-to-chuc-thi-tuyen-vao-lop-10-2022012320041817.htm,TP HCM dự kiến tổ chức thi tuyển vào lớp 10,https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/23/14-chot-164294255071511195350.jpg,Xã hội,nld.com.vn,24/01/2022 | 09:10
https://nld.com.vn//cong-doan/hang-ngan-cong-nhan-vui-tet-sum-vay-xuan-binh-an-20220123184338305.htm,"Hàng ngàn công nhân vui ""Tết sum vầy - Xuân bình an""",https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/23/7-tinsum-16429370961131506066029.jpg,Thời sự,nld.com.vn,24/01/2022 | 08:01
https://nld.com.vn//thoi-su/nguoi-dan-do-xo-ve-que-don-tet-20220123220652913.htm,Người dân đổ xô về quê đón Tết,https://nld.mediacdn.vn/291774122806476800/2022/1/23/3-chot-3-1642942664392634451103.jpg,Thời sự,nld.com.vn,24/01/2022 | 07:57
https://laodong.vn/the-gioi/my-yeu-cau-nguoi-than-cua-cac-nha-ngoai-giao-roi-su-quan-o-ukraina-998071.ldo,Mỹ yêu cầu người thân của các nhà ngoại giao rời sứ quán ở Ukraina,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/998071/My.jpg?w=888&h=592&crop=auto&scale=both,Thế giới,laodong.vn,24/01/2022 | 07:46
https://laodong.vn/kinh-te/kien-giang-do-trang-tri-cay-nha-la-vuon-len-ngoi-mua-tet-997873.ldo,Kiên Giang: Đồ trang trí “cây nhà lá vườn” lên ngôi mùa Tết,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997873/Dua-Tet.jpeg?w=888&h=592&crop=auto&scale=both,Kinh doanh,laodong.vn,24/01/2022 | 07:08
https://laodong.vn/thoi-su/chu-tich-quoc-hoi-can-tim-cach-de-nld-binh-duong-an-cu-lac-nghiep-997939.ldo,Chủ tịch Quốc hội: Cần tìm cách để NLĐ Bình Dương an cư lạc nghiệp,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997939/Chu-Tich-Quoc-Hoi-3.JPG?w=888&h=592&crop=auto&scale=both,Thời sự,laodong.vn,23/01/2022 | 23:07
https://laodong.vn/kinh-te/doanh-nghiep-bac-mat-vi-tac-nghen-logistic-co-the-keo-dai-het-nam-998021.ldo,"Doanh nghiệp ""bạc mặt"" vì tắc nghẽn logistic có thể kéo dài hết năm",https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/998021/Logistics-Tan-Cang.jpg?w=888&h=592&crop=auto&scale=both,Kinh doanh,laodong.vn,23/01/2022 | 22:16
https://laodong.vn/ban-doc/ca-si-thuy-tien-qua-con-hoan-nan-moi-hieu-ro-long-nhau-990204.ldo,"Ca sĩ Thủy Tiên: Qua cơn hoạn nạn, mới hiểu rõ lòng nhau",https://media-cdn.laodong.vn/storage/newsportal/2021/12/30/990204/Thuy-Tien.jpg?w=888&h=592&crop=auto&scale=both,Bạn đọc,laodong.vn,23/01/2022 | 21:31
https://laodong.vn/thoi-su/thien-su-thich-nhat-hanh-vien-tich-la-ton-that-cua-phat-giao-viet-nam-997988.ldo,Thiền sư Thích Nhất Hạnh viên tịch là tổn thất của Phật giáo Việt Nam,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997988/Thien-Su-Thich-Nhat-.jpg?w=888&h=592&crop=auto&scale=both,Thời sự,laodong.vn,23/01/2022 | 19:27
https://nld.com.vn//suc-khoe/dich-covid-19-hom-nay-14978-ca-nhiem-tp-hcm-chi-co-138-ca-mac-4-ca-tu-vong-20220123164411034.htm,"Dịch Covid-19 hôm nay: 14.978 ca nhiễm, TP HCM chỉ có 138 ca mắc, 4 ca tử vong",https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/23/photo-1-16429352061721806549451.jpg,Sức khỏe,nld.com.vn,23/01/2022 | 18:13
https://laodong.vn/thoi-su/chu-tich-quoc-hoi-tham-doanh-nghiep-va-nguoi-lao-dong-o-binh-duong-997908.ldo,Chủ tịch Quốc hội thăm doanh nghiệp và người lao động ở Bình Dương,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997908/Chu-Tich-Quoc-Hoi-2.jpg?w=888&h=592&crop=auto&scale=both,Thời sự,laodong.vn,23/01/2022 | 17:58
https://laodong.vn/thoi-su/chu-tich-nuoc-nguyen-xuan-phuc-tham-tang-qua-tet-cnvcld-tphcm-997715.ldo,"Chủ tịch nước Nguyễn Xuân Phúc thăm, tặng quà Tết CNVCLĐ TPHCM",https://media-cdn.laodong.vn/storage/newsportal/2022/1/22/997715/CTN-2-02.jpg?w=888&h=592&crop=auto&scale=both,Thời sự,laodong.vn,23/01/2022 | 17:02
https://laodong.vn/phap-luat/hai-phong-tam-giu-nhieu-xe-vi-pham-tang-cuong-dam-bao-an-toan-giao-thong-dip-tet-997924.ldo,"Hải Phòng tạm giữ nhiều xe vi phạm, tăng cường đảm bảo an toàn giao thông dịp Tết",https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997924/CA-Hong-Bang.jpg?w=888&h=592&crop=auto&scale=both,Pháp luật,laodong.vn,23/01/2022 | 16:36
https://laodong.vn/the-gioi/lan-dau-tien-phat-hien-su-hop-nhat-giua-2-ho-den-lech-tam-997905.ldo,Lần đầu tiên phát hiện sự hợp nhất giữa 2 hố đen lệch tâm,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997905/Ho-Den-1.jpg?w=888&h=592&crop=auto&scale=both,Thế giới,laodong.vn,23/01/2022 | 16:13
https://laodong.vn/thoi-su/thu-tuong-chinh-phu-pham-minh-chinh-tham-tang-qua-tet-tai-can-tho-997795.ldo,"Thủ tướng Chính phủ Phạm Minh Chính thăm, tặng quà Tết tại Cần Thơ",https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997795/Thu-Tuong-Pham-Minh--03.JPG?w=888&h=592&crop=auto&scale=both,Thời sự,laodong.vn,23/01/2022 | 12:19
https://laodong.vn/phap-luat/canh-bao-toi-pham-su-dung-tien-gia-vao-dip-tet-nguyen-dan-997854.ldo,Cảnh báo tội phạm sử dụng tiền giả vào dịp Tết Nguyên đán,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997854/Anh-Chup-Man-Hinh-20.jpg?w=888&h=592&crop=auto&scale=both,Pháp luật,laodong.vn,23/01/2022 | 12:17
https://laodong.vn/thoi-su/chanh-an-tand-toi-cao-vui-tet-sum-vay-cung-cong-nhan-nghe-an-997800.ldo,Chánh án TAND tối cao vui Tết sum vầy cùng công nhân Nghệ An,https://media-cdn.laodong.vn/storage/newsportal/2022/1/23/997800/Nhb3.jpg?w=888&h=592&crop=auto&scale=both,Thời sự,laodong.vn,23/01/2022 | 10:27
https://nld.com.vn//giai-tri/trinh-thang-binh-uoc-thanh-ong-gia-sanh-dieu-cung-tran-thanh-den-paris-20220123082801822.htm,Trịnh Thăng Bình ước thành ông già sành điệu cùng Trấn Thành đến Paris,https://nld.mediacdn.vn/thumb_w/684/291774122806476800/2022/1/23/trinh-thang-binh-tap-luyen-cho-3432-6072-1641460737-1642900967916495747825.jpg,Giải trí,nld.com.vn,23/01/2022 | 09:38
https://thanhnien.vn/le-nhap-kim-quan-thien-su-thich-nhat-hanh-hang-ngan-tang-ni-phat-tu-den-cau-nguyen-post1423863.html,"Lễ nhập Kim quan Thiền sư Thích Nhất Hạnh: Hàng ngàn tăng ni, Phật tử đến cầu nguyện",https://image.thanhnien.vn/w2048/Uploaded/2022/rutmht/2022_01_23/nhap-kim-quan13-6148.jpg,Trending,thanhnien.vn,23/01/2022 | 09:21
https://laodong.vn/bat-dong-san/mat-so-do-co-anh-huong-den-viec-ban-dat-khong-997666.ldo,Mất sổ đỏ có ảnh hưởng đến việc bán đất không?,https://media-cdn.laodong.vn/Storage/NewsPortal/2022/1/22/997666/So-Do.jpg,Kinh doanh,laodong.vn,23/01/2022 | 08:55
https://thanhnien.vn/canh-sat-phat-hien-thi-the-nguoi-cha-bi-nu-sinh-vien-sat-hai-nhu-the-nao-post1423844.html,Cảnh sát phát hiện thi thể người cha bị nữ sinh viên sát hại như thế nào?,https://image.thanhnien.vn/w2048/Uploaded/2022/rutmtz/2022_01_23/z3131752117240-8b3a9993021d285a37a034f0df8d52a7-3055.jpg,Trending,thanhnien.vn,23/01/2022 | 08:13
https://laodong.vn/van-hoa-giai-tri/do-duy-nam-trung-ruoi-duoc-nham-cho-vai-nam-tao-bac-dau-tu-lau-997758.ldo,"Đỗ Duy Nam, Trung Ruồi được “nhắm” cho vai Nam Tào, Bắc Đẩu từ lâu?",https://media-cdn.laodong.vn/storage/newsportal/2022/1/22/997758/GNCN5.JPG?w=888&h=592&crop=auto&scale=both,Giải trí,laodong.vn,23/01/2022 | 07:38
https://laodong.vn/van-hoa-giai-tri/karik-noi-loi-tam-biet-ngay-sau-dem-chung-ket-dau-tien-cua-rap-viet-997738.ldo,Karik nói lời tạm biệt ngay sau đêm chung kết đầu tiên của Rap Việt,https://media-cdn.laodong.vn/storage/newsportal/2022/1/22/997738/271539428_4957503054.jpg?w=888&h=592&crop=auto&scale=both,Giải trí,laodong.vn,23/01/2022 | 07:17
https://laodong.vn/tien-te-dau-tu/gia-vang-hom-nay-231-vun-vut-tang-nguoi-mua-van-lo-nang-sau-1-tuan-997753.ldo,"Giá vàng hôm nay 23.1: Vùn vụt tăng, người mua vẫn lỗ nặng sau 1 tuần",https://media-cdn.laodong.vn/Storage/NewsPortal/2022/1/22/997753/Ttxvn_Gia_Vang.jpg,Kinh doanh,laodong.vn,23/01/2022 | 07:06
https://laodong.vn/giai-tri/kellie-vuong-on-ao-truoc-them-chung-ket-rap-viet-binz-het-hy-vong-997699.ldo,"Kellie vướng ồn ào trước thềm chung kết Rap Việt, Binz hết hy vọng?",https://media-cdn.laodong.vn/storage/newsportal/2022/1/22/997699/259862906_2256471129.jpg?w=888&h=592&crop=auto&scale=both,Giải trí,laodong.vn,22/01/2022 | 20:32
