url,title,imageurl,category,newname,time
https://thanhnien.vn/ban-than-cua-bi-can-nguyen-phuong-hang-nop-don-to-cao-youtuber-long-ngo-post1444363.html,Một phụ nữ tố cáo bị YouTuber Long Ngô xúc phạm khi livestream cùng bà Nguyễn Phương Hằng,https://image.thanhnien.vn/w2048/Uploaded/2022/myxqxqeiox/2022_04_01/long-ngo-01-8483-2104.jpg,Thời sự,thanhnien.vn,2022-04-01 10:41:00
https://thanhnien.vn/tp-hcm-mo-rong-quoc-lo-50-noi-long-an-len-34m-se-giam-ket-xe-va-tai-nan-post1444575.html,TP.HCM mở rộng quốc lộ 50 nối Long An lên 34m sẽ giảm kẹt xe và tai nạn,https://image.thanhnien.vn/w2048/Uploaded/2022/jutmty/2022_04_01/tainanquoclo50-365.png,Thời sự,thanhnien.vn,2022-04-01 20:04:00
https://thanhnien.vn/khoi-to-nghi-pham-giet-nguoi-tinh-roi-phan-xac-phi-tang-o-ninh-binh-post1444537.html,Khởi tố nghi phạm giết người tình rồi phân xác phi tang ở Ninh Bình,https://image.thanhnien.vn/w2048/Uploaded/2022/tpuoohp/2022_03_28/277464631-5730349493648492-923123989628410518-n-7088.jpg,Thời sự,thanhnien.vn,2022-04-01 18:05:00
https://thanhnien.vn/tay-ninh-bat-bang-nhom-hen-nhau-hon-chien-tranh-gianh-dia-ban-bao-ke-post1444530.html,Tây Ninh: Bắt băng nhóm hẹn nhau hỗn chiến tranh giành địa bàn bảo kê,https://image.thanhnien.vn/w2048/Uploaded/2022/xpcwvoko/2022_04_01/gianh-quyen-bao-ke-ho-chien-7029.jpg,Thời sự,thanhnien.vn,2022-04-01 18:55:00
https://thanhnien.vn/an-giang-nong-long-chuot-can-pha-lua-dung-dien-bay-dan-den-chet-nguoi-post1444546.html,"An Giang: Nóng lòng chuột cắn phá lúa, dùng điện bẫy dẫn đến chết người",https://image.thanhnien.vn/w2048/Uploaded/2022/aobhuaw/2022_04_01/1-4590.png,Thời sự,thanhnien.vn,2022-04-01 19:05:00
https://thanhnien.vn/tp-hcm-chem-nguoi-vi-mau-thuan-tren-mang-xa-hoi-post1444563.html,TP.HCM: Chém người vì mâu thuẫn trên mạng xã hội,https://image.thanhnien.vn/w2048/Uploaded/2022/pmfyr/2022_04_01/1-4-danh-nhau-8888.jpg,Thời sự,thanhnien.vn,2022-04-01 19:56:00
https://thanhnien.vn/quang-tri-lu-tieu-man-gay-ngap-nang-dan-vung-trung-doi-mua-dap-de-cat-post1444538.html,"Quảng Trị: Lũ tiểu mãn gây ngập nặng, dân vùng trũng đội mưa đắp đê cát",https://image.thanhnien.vn/w2048/Uploaded/2022/wobjuko/2022_04_01/9-5240.jpg,Thời sự,thanhnien.vn,2022-04-01 18:59:00
https://thanhnien.vn/lam-dong-dot-kich-truong-ga-trong-nha-kinh-trong-rau-hoa-post1444495.html,"Lâm Đồng: Đột kích trường gà trong nhà kính trồng rau, hoa",https://image.thanhnien.vn/w2048/Uploaded/2022/shtcplu/2022_04_01/h4-4881.jpg,Thời sự,thanhnien.vn,2022-04-01 18:40:00
https://thanhnien.vn/quang-nam-nhom-cong-nhan-bi-nuoc-lu-cuon-troi-1-nguoi-mat-tich-post1444541.html,"Quảng Nam: Nhóm công nhân bị nước lũ cuốn trôi, 1 người mất tích",https://image.thanhnien.vn/w2048/Uploaded/2022/jbvunuc/2022_04_01/a-5571.jpg,Thời sự,thanhnien.vn,2022-04-01 18:32:00
https://thanhnien.vn/nghich-sung-tu-che-be-trai-6-tuoi-bi-11-vien-dan-bi-gam-vao-dau-tu-vong-post1444553.html,"Nghịch súng tự chế, bé trai 6 tuổi bị 11 viên đạn bi găm vào đầu, tử vong",https://image.thanhnien.vn/w2048/Uploaded/2022/tpuoohp/2022_04_01/nb2-1693.jpg,Thời sự,thanhnien.vn,2022-04-01 18:28:00
